panjang_patch_mm,lebar_patch_mm,tebal_substrat_mm,epsilon_r,frekuensi_resonansi_ghz,s11_db,gain_dbi,bandwidth_mhz,efisiensi_persen
45.333,51.894,1.6,2.2,2.1948,-32.77,7.69,236.17,89.94
31.561,37.766,1.6,2.2,3.1223,-33.73,5.18,135.63,76.58
35.754,37.737,1.6,2.2,2.7725,-12.06,6.84,175.32,78.59
48.33,58.129,1.6,2.2,2.0595,-24.26,7.96,223.64,86.1
42.586,58.297,1.6,2.2,2.3266,-10.68,7.26,211.47,82.8
33.089,39.176,1.6,2.2,2.9828,-30.39,6.34,145.08,81.32
39.805,48.822,1.6,2.2,2.4898,-24.89,7.57,219.43,88.47
33.145,40.701,1.6,2.2,2.9758,-37.06,5.9,165.71,77.85
29.961,34.595,1.6,2.2,3.2861,-36.52,5.67,148.67,78.75
39.165,48.15,1.6,2.2,2.5294,-32.78,7.32,217.78,83.8
46.563,56.88,1.6,2.2,2.1357,-29.32,7.66,221.84,86.33
37.722,45.57,1.6,2.2,2.6246,-20.34,7.43,205.4,85.94
29.374,35.895,1.6,2.2,3.3456,-29.23,5.78,133.59,77.96
33.462,39.359,1.6,2.2,2.9509,-27.64,6.7,152.22,82.82
28.536,32.163,1.6,2.2,3.4465,-26.94,6.12,129.01,77.97
35.328,47.187,1.6,2.2,2.7926,-36.65,7.89,201.47,82.45
37.54,41.294,1.6,2.2,2.6416,-16.42,6.45,173.91,83.11
51.368,64.873,1.6,2.2,1.9384,-36.64,8.36,226.23,90.02
36.019,43.516,1.6,2.2,2.7455,-34.71,6.47,194.39,82.09
37.7,44.777,1.6,2.2,2.6269,-26.04,7.49,192.28,85.66
48.686,52.451,1.6,2.2,2.0483,-12.97,7.83,245.45,92.26
28.857,32.604,1.6,2.2,3.4092,-36.79,5.52,146.24,75.26
29.783,32.677,1.6,2.2,3.3087,-21.72,5.24,144.71,74.72
38.393,44.831,1.6,2.2,2.5814,-37.75,7.05,212.36,84.73
45.377,56.897,1.6,2.2,2.1895,-28.33,7.34,210.29,89.22
37.294,37.164,1.6,2.2,2.6638,-26.87,6.23,177.44,87.93
45.459,52.262,1.6,2.2,2.1887,-30.13,7.42,241.77,87.66
36.896,46.68,1.6,2.2,2.6796,-34.1,6.96,209.18,85.34
40.942,41.655,1.6,2.2,2.4304,-16.78,6.84,186.94,88.16
37.218,41.87,1.6,2.2,2.6628,-29.0,6.05,185.09,88.01
49.327,60.555,1.6,2.2,2.018,-23.34,7.69,205.05,82.29
32.252,35.815,1.6,2.2,3.062,-34.73,5.78,160.55,85.09
35.388,42.995,1.6,2.2,2.7928,-18.53,6.35,203.69,83.69
37.123,42.984,1.6,2.2,2.668,-35.01,6.46,186.28,84.01
37.33,44.787,1.6,2.2,2.6518,-23.18,7.72,179.88,82.34
30.467,39.052,1.6,2.2,3.2263,-19.35,6.06,162.51,81.31
32.136,39.111,1.6,2.2,3.067,-21.29,5.45,164.03,72.74
42.727,53.2,1.6,2.2,2.3226,-28.53,7.15,217.66,87.77
45.143,59.007,1.6,2.2,2.1992,-13.03,7.64,219.32,88.48
29.237,38.082,1.6,2.2,3.3564,-34.92,5.69,157.89,78.22
38.878,46.891,1.6,2.2,2.5485,-12.8,7.49,220.93,82.24
46.958,55.06,1.6,2.2,2.1194,-35.84,7.54,233.08,84.32
