Gain_sim,Gain_pred,S11_sim,S11_pred,Eff_sim,Eff_pred
2.1948,2.3630204,7.69,8.035475,-32.77,-25.45288
3.1223,2.855012,5.18,6.858606,-33.73,-25.13988
2.7725,2.7757056,6.84,7.0646877,-12.06,-25.818636
2.0595,2.1376574,7.96,7.9931293,-24.26,-26.251017
2.3266,2.4221299,7.26,7.985952,-10.68,-24.684977
2.9828,2.7742083,6.34,6.978901,-30.39,-25.253832
2.4898,2.6326191,7.57,7.712648,-24.89,-25.142868
2.9758,2.8865504,5.9,7.0504074,-37.06,-25.103796
3.2861,3.1831617,5.67,6.5827723,-36.52,-25.862625
2.5294,2.6763968,7.32,7.6553125,-32.78,-25.110023
2.1357,2.2321856,7.66,7.9965205,-29.32,-25.77797
2.6246,2.7342782,7.43,7.477165,-20.34,-25.232906
3.3456,3.1087725,5.78,6.6120615,-29.23,-25.222673
2.9509,2.7840803,6.7,7.012692,-27.64,-25.362162
3.4465,3.2214239,6.12,6.404723,-26.94,-26.007801
2.7926,2.9055266,7.89,7.4008746,-36.65,-24.633022
2.6416,2.619245,6.45,7.2690706,-16.42,-25.76296
1.9384,1.9637094,8.36,8.04357,-36.64,-26.846914
2.7455,2.817639,6.47,7.304497,-34.71,-25.238386
2.6269,2.6728456,7.49,7.423639,-26.04,-25.417667
2.0483,2.2374263,7.83,8.124649,-12.97,-25.643589
3.4092,3.308887,5.52,6.4430943,-36.79,-26.187807
3.3087,3.2068782,5.24,6.477745,-21.72,-26.26508
2.5814,2.7287717,7.05,7.5030303,-37.75,-25.343786
2.1895,2.2396476,7.34,7.9073973,-28.33,-25.792915
2.6638,2.6941755,6.23,7.1103487,-26.87,-25.95964
2.1887,2.3748772,7.42,8.071988,-30.13,-25.39276
2.6796,2.8150241,6.96,7.479337,-34.1,-24.95671
2.4304,2.4636219,6.84,7.4614882,-16.78,-25.946356
2.6628,2.6935446,6.05,7.295231,-29.0,-25.610188
2.018,1.9999762,7.69,7.838305,-23.34,-27.088844
3.062,3.004811,5.78,6.7828603,-34.73,-25.962307
2.7928,2.932962,6.35,7.2540555,-18.53,-25.218033
2.668,2.694389,6.46,7.32946,-35.01,-25.526585
2.6518,2.6395519,7.72,7.376672,-23.18,-25.460974
3.2263,3.1463964,6.06,6.838074,-19.35,-25.073647
